account,shares,pre_dai,post_dai
0xbC641f6C6957096857358Cc70df3623715A2ae45,"56,780.101119218800000000","63,029.223465555200000000","43,067.229684002600000000"
0x45f35BfDc9a8bAF185393830B162710B3C1b412B,"55,794.607690591600000000","61,935.268289139400000000","42,319.741197611100000000"
0x1d4e5D4AE3A9f0b68671eE037F1aFAf17817B83C,"54,824.258160375900000000","60,858.123723101300000000","41,583.739230939400000000"
0x83919C38950b21c8B5170f95Bb2D8Ca02CAefc51,"53,470.894931415200000000","59,355.811615394300000000","40,557.224591503400000000"
0xDBA5EBD9bb28b3BB2D0a93a929d45BC17269CbAe,"51,870.615739338300000000","57,579.408389325500000000","39,343.426268407800000000"
0xD18C9461107896177a3758514a2098fa77E95b7E,"50,945.342699237400000000","56,552.301356023100000000","38,641.614440796400000000"
0x8398B4CD23Caca6CFbB13487A011cE6ce63f3bc8,"50,750.148803295200000000","56,335.624748480200000000","38,493.561510566300000000"
0x0955DAC0A0F14884D8dfDa7295776C2255E843dB,"48,541.522208565400000000","53,883.920428706200000000","36,818.336793341800000000"
0xfE6eD6353Ff866Cd93BFdCa0ca5DA08F083d4145,"47,202.064986673300000000","52,397.044799796700000000","35,802.369743441700000000"
0x39b520162E9D1b93C24a8d68Eb4e5a06527c79A7,"47,172.785766312100000000","52,364.543157730700000000","35,780.161700775100000000"
0x30BD6dE951074046B7b4c4AaB32a9b570c7f7003,"46,958.581869158300000000","52,126.764340244100000000","35,617.689844330900000000"
0xB7a9EE05C43bd4027ea34CA125d8c06618f8331a,"46,191.214424834900000000","51,274.941726774300000000","35,035.648084537100000000"
0x7633bC2bE8DA34D3Ee56b0b9F5485baE598fd8E2,"45,610.209153656700000000","50,629.991993506600000000","34,594.960467427900000000"
0xd8d6BE6Bf9878Bf62A7EFEC03c1FFA716a63482A,"45,519.994168594800000000","50,529.848099055400000000","34,526.533159162900000000"
0x07fe984c446417c1Ff4532Ce4FD67eEB59A0d682,"45,404.947089124200000000","50,402.139131686900000000","34,439.270915905700000000"
0xA0D9D8065ECF7E20585A1b6294d5D74B6D3dC61a,"45,165.620049474400000000","50,136.472160933200000000","34,257.743366940200000000"
0xC4F6D8D230841C03225Ad966e5563eB1560AaD73,"44,953.398493821400000000","49,900.893858115900000000","34,096.775099870400000000"
0xDeFc925DD7d7Be4e538fE320CbA30673caB9566e,"44,799.383678116700000000","49,729.928431061100000000","33,979.956156051200000000"
0xc16CC78d64086Edaa91E4f7c9a77CD382B8fb7d6,"44,604.365219587900000000","49,513.446569278000000000","33,832.036293625400000000"
0x4a8bfb4f442f0909d748825F20C65444Fc9feACe,"44,387.197048073200000000","49,272.377234384400000000","33,667.316059981600000000"
0xb1C57869f6eacD51D1A74c558ec4C578394dAF0B,"44,126.805593101800000000","48,983.327534218200000000","33,469.811328958700000000"
0x8ed48a056725DC7740100Ed2e1B296e7489452d0,"40,881.958036473700000000","45,381.357517839600000000","31,008.621717523200000000"
0x47B99D6A4bA5B4893730B776F06B0432e6C844fA,"40,582.543713023200000000","45,048.990157980000000000","30,781.518468593600000000"
0x077031fd82fEaBa89aE214599c59FE265e6570C2,"40,245.690632035500000000","44,675.063593952700000000","30,526.018236598600000000"
0x2Ef9834de85F62F36FE39cb3387D30469762AD1b,"39,440.993504920100000000","43,781.802855643100000000","29,915.662226017200000000"
0xFc80B8830Be449827a9d0DBbc53835704a5F2EF0,"38,460.730371033500000000","42,693.653611402500000000","29,172.140874246200000000"
0x718FdF375E1930Ba386852E35F5bAFC31df3AE66,"36,825.648943251900000000","40,878.617874152900000000","27,931.945347745400000000"
0x90C0B79CD87644F702147765756ECE3F3Ce0ba4a,"36,105.533376489800000000","40,079.247600345800000000","27,385.743740114400000000"
0xDAE1a298C9374390686E39ee1783Fd7BF80AC3d4,"35,827.618285833600000000","39,770.745642650400000000","27,174.947478642300000000"
0xfD1935fD3C8f49723dEB7296c58Ba4BB1A0E48e1,"35,739.983735382300000000","39,673.466181099200000000","27,108.477408351000000000"
0xb69e48A84a2501049D0361f18d8C6B763FFA24d2,"33,634.077359967400000000","37,335.787295060100000000","25,511.165114514600000000"
0x87885AaEEdED51C7e3858a782644F5d89759f245,"32,786.553701047100000000","36,394.986608948700000000","24,868.325539348900000000"
0xB4A933c031b89aA160dD1e5b3e8C15651aDE066D,"32,296.453282474900000000","35,850.946563336800000000","24,496.588489241200000000"
0x0cB83821195Ebd9ab6c10BFBbC3B8C39b3aC397d,"32,269.469548131700000000","35,820.993044615900000000","24,476.121553434800000000"
0x4eD41eEd00B8dEAa9E96583b350c0D914330766C,"31,728.725948910400000000","35,220.736115144600000000","24,065.972076262800000000"
0xcA594b380352EEAeFe5097608897aD0e6E0036eb,"31,587.866879183000000000","35,064.374333323300000000","23,959.131655244800000000"
0xB086F565e48a2b97c12cA45B9B6ad7e90EBe9F68,"30,655.246029132700000000","34,029.110802477600000000","23,251.746575516300000000"
0x48952f913beB1324bD9bC51764e8AcE5D143e88C,"29,912.675400200400000000","33,204.814100158200000000","22,688.512991876300000000"
0x9859dD8F057334ae0C6c0F2C03AF39803CB36D56,"29,454.405194121700000000","32,696.107446644300000000","22,340.918890536300000000"
0xf8567Fe4446121CE9A944646ae1Cbbd9651fA566,"28,964.583059307400000000","32,152.376312232200000000","21,969.392916321100000000"
0x0F6Ef5816456A014880BaB576342c4f37F6C7898,"27,702.931549500600000000","30,751.869561103000000000","21,012.440845384700000000"
0x2Ad4B0EE06111982870004386cbA7Ce0A8b2823B,"27,542.660761901500000000","30,573.959640418300000000","20,890.876799440600000000"
0x57696126C5F8D8b4d9c7054d865E17c3bfaBd1F5,"27,333.105917606700000000","30,341.341542722200000000","20,731.931210532800000000"
0x6f0B67Ede8f338EdF7CA24ea0bE1e52D075cDD8c,"27,305.501892360300000000","30,310.699464925400000000","20,710.993789287400000000"
0x86722028e1E778CFdfAeD0767BD9816a7bc67F76,"27,269.187966723900000000","30,270.388889763900000000","20,683.449981768800000000"
0xcfe772359db751F44b24Ff72B4A74F68A2f8675a,"27,257.314663507000000000","30,257.208830782300000000","20,674.444181027600000000"
0x552B6445153C27FFcBd5e1a8e89f11660e003Cfb,"27,224.022061362400000000","30,220.252100890000000000","20,649.192021995100000000"
0x0632dcc37b1FAbf2CaD20538A5390D23C830962e,"27,212.522830440400000000","30,207.487283970300000000","20,640.469951946900000000"
0x38160dc5b34ced1307ea5703802b32eF6F70b9A7,"27,031.656455092900000000","30,006.715059820100000000","20,503.284325721100000000"
0x533199c56d81ab3Cc93e267F349E08c3263A6516,"26,447.662830756800000000","29,358.448080276400000000","20,060.330067847000000000"
0x7cdb677E6E6Fb4768fc1a39e2578Bf799e2129Ef,"25,945.862813545900000000","28,801.420797894500000000","19,679.718970461300000000"
0x8CD04731a8DdbD3a7bA8f9E570f1A20Fb487015F,"25,429.140613654200000000","28,227.829022525800000000","19,287.789522874900000000"
